outdoor_dry_bulb_temperature,outdoor_relative_humidity,diffuse_solar_irradiance,direct_solar_irradiance,outdoor_dry_bulb_temperature_predicted_1,outdoor_dry_bulb_temperature_predicted_2,outdoor_dry_bulb_temperature_predicted_3,outdoor_relative_humidity_predicted_1,outdoor_relative_humidity_predicted_2,outdoor_relative_humidity_predicted_3,diffuse_solar_irradiance_predicted_1,diffuse_solar_irradiance_predicted_2,diffuse_solar_irradiance_predicted_3,direct_solar_irradiance_predicted_1,direct_solar_irradiance_predicted_2,direct_solar_irradiance_predicted_3
23.0,72.0,0.0,0.0,23.0,23.0,22.1,69.0,69.0,73.0,0.0,0.0,0.0,0.0,0.0,0.0
23.0,69.0,0.0,0.0,23.0,22.1,22.0,69.0,73.0,73.0,0.0,0.0,0.0,0.0,0.0,0.0
23.0,69.0,0.0,0.0,22.1,22.0,21.0,73.0,73.0,73.0,0.0,0.0,0.0,0.0,0.0,0.0
22.1,73.0,0.0,0.0,22.0,21.0,19.7,73.0,73.0,80.0,0.0,0.0,0.0,0.0,0.0,0.0
22.0,73.0,0.0,0.0,21.0,19.7,19.0,73.0,80.0,83.0,0.0,0.0,0.0,0.0,0.0,0.0
21.0,73.0,0.0,0.0,19.7,19.0,19.0,80.0,83.0,83.0,0.0,0.0,0.0,0.0,0.0,0.0
19.7,80.0,0.0,0.0,19.0,19.0,18.8,83.0,83.0,85.0,0.0,0.0,0.0,0.0,0.0,0.0
19.0,83.0,0.0,0.0,19.0,18.8,17.0,83.0,85.0,94.0,0.0,0.0,0.0,0.0,0.0,0.0
19.0,83.0,0.0,0.0,18.8,17.0,17.0,85.0,94.0,88.0,0.0,0.0,0.0,0.0,0.0,0.0
18.8,85.0,0.0,0.0,17.0,17.0,16.5,94.0,88.0,92.0,0.0,0.0,0.0,0.0,0.0,0.0
17.0,94.0,0.0,0.0,17.0,16.5,17.0,88.0,92.0,88.0,0.0,0.0,63.0,0.0,0.0,92.0
17.0,88.0,0.0,0.0,16.5,17.0,18.0,92.0,88.0,83.0,0.0,63.0,132.0,0.0,92.0,236.0
16.5,92.0,0.0,0.0,17.0,18.0,20.6,88.0,83.0,77.0,63.0,132.0,159.0,92.0,236.0,393.0
17.0,88.0,63.0,92.0,18.0,20.6,24.0,83.0,77.0,65.0,132.0,159.0,160.0,236.0,393.0,529.0
18.0,83.0,132.0,236.0,20.6,24.0,24.0,77.0,65.0,61.0,159.0,160.0,165.0,393.0,529.0,587.0
20.6,77.0,159.0,393.0,24.0,24.0,24.2,65.0,61.0,63.0,160.0,165.0,147.0,529.0,587.0,586.0
24.0,65.0,160.0,529.0,24.0,24.2,24.0,61.0,63.0,61.0,165.0,147.0,118.0,587.0,586.0,545.0
24.0,61.0,165.0,587.0,24.2,24.0,25.0,63.0,61.0,57.0,147.0,118.0,103.0,586.0,545.0,387.0
24.2,63.0,147.0,586.0,24.0,25.0,24.2,61.0,57.0,61.0,118.0,103.0,81.0,545.0,387.0,217.0
24.0,61.0,118.0,545.0,25.0,24.2,24.0,57.0,61.0,65.0,103.0,81.0,38.0,387.0,217.0,89.0
25.0,57.0,103.0,387.0,24.2,24.0,23.0,61.0,65.0,69.0,81.0,38.0,6.0,217.0,89.0,10.0
24.2,61.0,81.0,217.0,24.0,23.0,23.0,65.0,69.0,70.0,38.0,6.0,0.0,89.0,10.0,0.0
24.0,65.0,38.0,89.0,23.0,23.0,23.0,69.0,70.0,69.0,6.0,0.0,0.0,10.0,0.0,0.0
23.0,69.0,6.0,10.0,23.0,23.0,23.0,70.0,69.0,65.0,0.0,0.0,0.0,0.0,0.0,0.0
23.0,70.0,0.0,0.0,23.0,23.0,22.3,69.0,65.0,67.0,0.0,0.0,0.0,0.0,0.0,0.0
23.0,69.0,0.0,0.0,23.0,22.3,22.0,65.0,67.0,64.0,0.0,0.0,0.0,0.0,0.0,0.0
23.0,65.0,0.0,0.0,22.3,22.0,22.0,67.0,64.0,64.0,0.0,0.0,0.0,0.0,0.0,0.0
22.3,67.0,0.0,0.0,22.0,22.0,22.1,64.0,64.0,65.0,0.0,0.0,0.0,0.0,0.0,0.0
22.0,64.0,0.0,0.0,22.0,22.1,21.0,64.0,65.0,69.0,0.0,0.0,0.0,0.0,0.0,0.0
22.0,64.0,0.0,0.0,22.1,21.0,19.0,65.0,69.0,78.0,0.0,0.0,0.0,0.0,0.0,0.0
22.1,65.0,0.0,0.0,21.0,19.0,19.1,69.0,78.0,77.0,0.0,0.0,0.0,0.0,0.0,0.0
21.0,69.0,0.0,0.0,19.0,19.1,18.0,78.0,77.0,83.0,0.0,0.0,0.0,0.0,0.0,0.0
19.0,78.0,0.0,0.0,19.1,18.0,18.0,77.0,83.0,83.0,0.0,0.0,0.0,0.0,0.0,0.0
19.1,77.0,0.0,0.0,18.0,18.0,17.9,83.0,83.0,81.0,0.0,0.0,0.0,0.0,0.0,0.0
18.0,83.0,0.0,0.0,18.0,17.9,18.0,83.0,81.0,83.0,0.0,0.0,46.0,0.0,0.0,124.0
18.0,83.0,0.0,0.0,17.9,18.0,19.0,81.0,83.0,78.0,0.0,46.0,91.0,0.0,124.0,295.0
17.9,81.0,0.0,0.0,18.0,19.0,21.5,83.0,78.0,68.0,46.0,91.0,119.0,124.0,295.0,451.0
18.0,83.0,46.0,124.0,19.0,21.5,23.0,78.0,68.0,61.0,91.0,119.0,135.0,295.0,451.0,575.0
19.0,78.0,91.0,295.0,21.5,23.0,24.0,68.0,61.0,54.0,119.0,135.0,131.0,451.0,575.0,656.0
21.5,68.0,119.0,451.0,23.0,24.0,23.8,61.0,54.0,56.0,135.0,131.0,119.0,575.0,656.0,654.0
23.0,61.0,135.0,575.0,24.0,23.8,24.0,54.0,56.0,57.0,131.0,119.0,110.0,656.0,654.0,579.0
24.0,54.0,131.0,656.0,23.8,24.0,24.0,56.0,57.0,57.0,119.0,110.0,95.0,654.0,579.0,452.0
23.8,56.0,119.0,654.0,24.0,24.0,22.9,57.0,57.0,55.0,110.0,95.0,74.0,579.0,452.0,275.0
24.0,57.0,110.0,579.0,24.0,22.9,23.0,57.0,55.0,57.0,95.0,74.0,37.0,452.0,275.0,100.0
24.0,57.0,95.0,452.0,22.9,23.0,22.0,55.0,57.0,60.0,74.0,37.0,7.0,275.0,100.0,13.0
22.9,55.0,74.0,275.0,23.0,22.0,22.1,57.0,60.0,63.0,37.0,7.0,0.0,100.0,13.0,0.0
23.0,57.0,37.0,100.0,22.0,22.1,22.0,60.0,63.0,64.0,7.0,0.0,0.0,13.0,0.0,0.0
22.0,60.0,7.0,13.0,22.1,22.0,22.0,63.0,64.0,64.0,0.0,0.0,0.0,0.0,0.0,0.0
22.1,63.0,0.0,0.0,22.0,22.0,21.7,64.0,64.0,67.0,0.0,0.0,0.0,0.0,0.0,0.0
22.0,64.0,0.0,0.0,22.0,21.7,20.0,64.0,67.0,73.0,0.0,0.0,0.0,0.0,0.0,0.0
22.0,64.0,0.0,0.0,21.7,20.0,19.0,67.0,73.0,78.0,0.0,0.0,0.0,0.0,0.0,0.0
21.7,67.0,0.0,0.0,20.0,19.0,18.4,73.0,78.0,79.0,0.0,0.0,0.0,0.0,0.0,0.0
