outdoor_dry_bulb_temperature,outdoor_relative_humidity,diffuse_solar_irradiance,direct_solar_irradiance,outdoor_dry_bulb_temperature_predicted_1,outdoor_dry_bulb_temperature_predicted_2,outdoor_dry_bulb_temperature_predicted_3,outdoor_relative_humidity_predicted_1,outdoor_relative_humidity_predicted_2,outdoor_relative_humidity_predicted_3,diffuse_solar_irradiance_predicted_1,diffuse_solar_irradiance_predicted_2,diffuse_solar_irradiance_predicted_3,direct_solar_irradiance_predicted_1,direct_solar_irradiance_predicted_2,direct_solar_irradiance_predicted_3
29.0,45.0,157.0,968.0,28.7,29.0,28.0,47.0,45.0,51.0,156.0,150.0,137.0,958.0,874.0,724.0
28.7,47.0,156.0,958.0,29.0,28.0,28.4,45.0,51.0,51.0,150.0,137.0,118.0,874.0,724.0,522.0
29.0,45.0,150.0,874.0,28.0,28.4,28.0,51.0,51.0,48.0,137.0,118.0,87.0,724.0,522.0,293.0
28.0,51.0,137.0,724.0,28.4,28.0,27.0,51.0,48.0,54.0,118.0,87.0,40.0,522.0,293.0,96.0
28.4,51.0,118.0,522.0,28.0,27.0,26.9,48.0,54.0,53.0,87.0,40.0,6.0,293.0,96.0,8.0
28.0,48.0,87.0,293.0,27.0,26.9,27.0,54.0,53.0,54.0,40.0,6.0,0.0,96.0,8.0,0.0
27.0,54.0,40.0,96.0,26.9,27.0,26.0,53.0,54.0,54.0,6.0,0.0,0.0,8.0,0.0,0.0
26.9,53.0,6.0,8.0,27.0,26.0,26.2,54.0,54.0,52.0,0.0,0.0,0.0,0.0,0.0,0.0
27.0,54.0,0.0,0.0,26.0,26.2,25.0,54.0,52.0,57.0,0.0,0.0,0.0,0.0,0.0,0.0
26.0,54.0,0.0,0.0,26.2,25.0,23.0,52.0,57.0,61.0,0.0,0.0,0.0,0.0,0.0,0.0
26.2,52.0,0.0,0.0,25.0,23.0,22.5,57.0,61.0,61.0,0.0,0.0,0.0,0.0,0.0,0.0
25.0,57.0,0.0,0.0,23.0,22.5,22.0,61.0,61.0,64.0,0.0,0.0,0.0,0.0,0.0,0.0
23.0,61.0,0.0,0.0,22.5,22.0,22.0,61.0,64.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0
22.5,61.0,0.0,0.0,22.0,22.0,21.3,64.0,60.0,62.0,0.0,0.0,0.0,0.0,0.0,0.0
22.0,64.0,0.0,0.0,22.0,21.3,21.0,60.0,62.0,64.0,0.0,0.0,0.0,0.0,0.0,0.0
22.0,60.0,0.0,0.0,21.3,21.0,21.0,62.0,64.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0
21.3,62.0,0.0,0.0,21.0,21.0,21.0,64.0,60.0,61.0,0.0,0.0,53.0,0.0,0.0,140.0
21.0,64.0,0.0,0.0,21.0,21.0,22.0,60.0,61.0,60.0,0.0,53.0,98.0,0.0,140.0,354.0
21.0,60.0,0.0,0.0,21.0,22.0,25.0,61.0,60.0,54.0,53.0,98.0,125.0,140.0,354.0,579.0
21.0,61.0,53.0,140.0,22.0,25.0,26.5,60.0,54.0,51.0,98.0,125.0,142.0,354.0,579.0,768.0
22.0,60.0,98.0,354.0,25.0,26.5,29.0,54.0,51.0,43.0,125.0,142.0,153.0,579.0,768.0,899.0
25.0,54.0,125.0,579.0,26.5,29.0,29.0,51.0,43.0,45.0,142.0,153.0,157.0,768.0,899.0,963.0
26.5,51.0,142.0,768.0,29.0,29.0,28.9,43.0,45.0,43.0,153.0,157.0,156.0,899.0,963.0,954.0
29.0,43.0,153.0,899.0,29.0,28.9,29.0,45.0,43.0,52.0,157.0,156.0,149.0,963.0,954.0,870.0
29.0,45.0,157.0,963.0,28.9,29.0,28.0,43.0,52.0,55.0,156.0,149.0,137.0,954.0,870.0,720.0
28.9,43.0,156.0,954.0,29.0,28.0,28.5,52.0,55.0,54.0,149.0,137.0,117.0,870.0,720.0,519.0
29.0,52.0,149.0,870.0,28.0,28.5,28.0,55.0,54.0,58.0,137.0,117.0,87.0,720.0,519.0,291.0
28.0,55.0,137.0,720.0,28.5,28.0,27.0,54.0,58.0,62.0,117.0,87.0,40.0,519.0,291.0,96.0
28.5,54.0,117.0,519.0,28.0,27.0,26.5,58.0,62.0,58.0,87.0,40.0,6.0,291.0,96.0,8.0
28.0,58.0,87.0,291.0,27.0,26.5,26.0,62.0,58.0,65.0,40.0,6.0,0.0,96.0,8.0,0.0
27.0,62.0,40.0,96.0,26.5,26.0,26.0,58.0,65.0,70.0,6.0,0.0,0.0,8.0,0.0,0.0
26.5,58.0,6.0,8.0,26.0,26.0,25.7,65.0,70.0,67.0,0.0,0.0,0.0,0.0,0.0,0.0
26.0,65.0,0.0,0.0,26.0,25.7,25.0,70.0,67.0,78.0,0.0,0.0,0.0,0.0,0.0,0.0
26.0,70.0,0.0,0.0,25.7,25.0,25.0,67.0,78.0,78.0,0.0,0.0,0.0,0.0,0.0,0.0
25.7,67.0,0.0,0.0,25.0,25.0,24.4,78.0,78.0,79.0,0.0,0.0,0.0,0.0,0.0,0.0
25.0,78.0,0.0,0.0,25.0,24.4,24.0,78.0,79.0,83.0,0.0,0.0,0.0,0.0,0.0,0.0
25.0,78.0,0.0,0.0,24.4,24.0,23.0,79.0,83.0,83.0,0.0,0.0,0.0,0.0,0.0,0.0
24.4,79.0,0.0,0.0,24.0,23.0,22.1,83.0,83.0,82.0,0.0,0.0,0.0,0.0,0.0,0.0
24.0,83.0,0.0,0.0,23.0,22.1,21.5,83.0,82.0,85.0,0.0,0.0,0.0,0.0,0.0,0.0
23.0,83.0,0.0,0.0,22.1,21.5,21.0,82.0,85.0,88.0,0.0,0.0,0.0,0.0,0.0,0.0
22.1,82.0,0.0,0.0,21.5,21.0,21.0,85.0,88.0,84.0,0.0,0.0,62.0,0.0,0.0,128.0
21.5,85.0,0.0,0.0,21.0,21.0,22.0,88.0,84.0,83.0,0.0,62.0,113.0,0.0,128.0,336.0
21.0,88.0,0.0,0.0,21.0,22.0,26.0,84.0,83.0,61.0,62.0,113.0,136.0,128.0,336.0,569.0
21.0,84.0,62.0,128.0,22.0,26.0,28.4,83.0,61.0,52.0,113.0,136.0,148.0,336.0,569.0,766.0
22.0,83.0,113.0,336.0,26.0,28.4,31.0,61.0,52.0,38.0,136.0,148.0,153.0,569.0,766.0,902.0
26.0,61.0,136.0,569.0,28.4,31.0,30.0,52.0,38.0,38.0,148.0,153.0,156.0,766.0,902.0,968.0
28.4,52.0,148.0,766.0,31.0,30.0,30.3,38.0,38.0,32.0,153.0,156.0,155.0,902.0,968.0,957.0
31.0,38.0,153.0,902.0,30.0,30.3,31.0,38.0,32.0,40.0,156.0,155.0,155.0,968.0,957.0,869.0
30.0,38.0,156.0,968.0,30.3,31.0,29.0,32.0,40.0,48.0,155.0,155.0,157.0,957.0,869.0,711.0
30.3,32.0,155.0,957.0,31.0,29.0,28.1,40.0,48.0,65.0,155.0,157.0,144.0,869.0,711.0,502.0
31.0,40.0,155.0,869.0,29.0,28.1,27.0,48.0,65.0,74.0,157.0,144.0,110.0,711.0,502.0,274.0
29.0,48.0,157.0,711.0,28.1,27.0,27.0,65.0,74.0,70.0,144.0,110.0,51.0,502.0,274.0,88.0
28.1,65.0,144.0,502.0,27.0,27.0,26.2,74.0,70.0,77.0,110.0,51.0,7.0,274.0,88.0,8.0
27.0,74.0,110.0,274.0,27.0,26.2,26.0,70.0,77.0,84.0,51.0,7.0,0.0,88.0,8.0,0.0
27.0,70.0,51.0,88.0,26.2,26.0,25.0,77.0,84.0,83.0,7.0,0.0,0.0,8.0,0.0,0.0
26.2,77.0,7.0,8.0,26.0,25.0,25.6,84.0,83.0,79.0,0.0,0.0,0.0,0.0,0.0,0.0
26.0,84.0,0.0,0.0,25.0,25.6,26.0,83.0,79.0,87.0,0.0,0.0,0.0,0.0,0.0,0.0
25.0,83.0,0.0,0.0,25.6,26.0,26.0,79.0,87.0,91.0,0.0,0.0,0.0,0.0,0.0,0.0
25.6,79.0,0.0,0.0,26.0,26.0,26.0,87.0,91.0,71.0,0.0,0.0,0.0,0.0,0.0,0.0
26.0,87.0,0.0,0.0,26.0,26.0,25.0,91.0,71.0,83.0,0.0,0.0,0.0,0.0,0.0,0.0
26.0,91.0,0.0,0.0,26.0,25.0,24.0,71.0,83.0,83.0,0.0,0.0,0.0,0.0,0.0,0.0
26.0,71.0,0.0,0.0,25.0,24.0,23.9,83.0,83.0,83.0,0.0,0.0,0.0,0.0,0.0,0.0
25.0,83.0,0.0,0.0,24.0,23.9,23.0,83.0,83.0,89.0,0.0,0.0,0.0,0.0,0.0,0.0
24.0,83.0,0.0,0.0,23.9,23.0,23.0,83.0,89.0,89.0,0.0,0.0,0.0,0.0,0.0,0.0
23.9,83.0,0.0,0.0,23.0,23.0,22.1,89.0,89.0,88.0,0.0,0.0,64.0,0.0,0.0,123.0
23.0,89.0,0.0,0.0,23.0,22.1,23.0,89.0,88.0,83.0,0.0,64.0,129.0,0.0,123.0,311.0
23.0,89.0,0.0,0.0,22.1,23.0,25.0,88.0,83.0,49.0,64.0,129.0,167.0,123.0,311.0,530.0
22.1,88.0,64.0,123.0,23.0,25.0,29.2,83.0,49.0,32.0,129.0,167.0,161.0,311.0,530.0,744.0
23.0,83.0,129.0,311.0,25.0,29.2,32.0,49.0,32.0,39.0,167.0,161.0,151.0,530.0,744.0,893.0
25.0,49.0,167.0,530.0,29.2,32.0,34.0,32.0,39.0,26.0,161.0,151.0,163.0,744.0,893.0,954.0
29.2,32.0,161.0,744.0,32.0,34.0,33.8,39.0,26.0,35.0,151.0,163.0,163.0,893.0,954.0,943.0
32.0,39.0,151.0,893.0,34.0,33.8,31.0,26.0,35.0,38.0,163.0,163.0,160.0,954.0,943.0,859.0
34.0,26.0,163.0,954.0,33.8,31.0,30.0,35.0,38.0,52.0,163.0,160.0,150.0,943.0,859.0,710.0
33.8,35.0,163.0,943.0,31.0,30.0,28.7,38.0,52.0,58.0,160.0,150.0,140.0,859.0,710.0,502.0
31.0,38.0,160.0,859.0,30.0,28.7,28.5,52.0,58.0,53.0,150.0,140.0,113.0,710.0,502.0,267.0
30.0,52.0,150.0,710.0,28.7,28.5,28.2,58.0,53.0,49.0,140.0,113.0,49.0,502.0,267.0,84.0
28.7,58.0,140.0,502.0,28.5,28.2,28.0,53.0,49.0,46.0,113.0,49.0,7.0,267.0,84.0,8.0
28.5,53.0,113.0,267.0,28.2,28.0,27.0,49.0,46.0,51.0,49.0,7.0,0.0,84.0,8.0,0.0
