outdoor_dry_bulb_temperature,outdoor_relative_humidity,diffuse_solar_irradiance,direct_solar_irradiance,outdoor_dry_bulb_temperature_predicted_1,outdoor_dry_bulb_temperature_predicted_2,outdoor_dry_bulb_temperature_predicted_3,outdoor_relative_humidity_predicted_1,outdoor_relative_humidity_predicted_2,outdoor_relative_humidity_predicted_3,diffuse_solar_irradiance_predicted_1,diffuse_solar_irradiance_predicted_2,diffuse_solar_irradiance_predicted_3,direct_solar_irradiance_predicted_1,direct_solar_irradiance_predicted_2,direct_solar_irradiance_predicted_3
39.0,22.0,146.0,729.0,38.0,36.8,36.0,26.0,31.0,27.0,130.0,105.0,62.0,570.0,369.0,162.0
38.0,26.0,130.0,570.0,36.8,36.0,35.0,31.0,27.0,56.0,105.0,62.0,17.0,369.0,162.0,32.0
36.8,31.0,105.0,369.0,36.0,35.0,33.7,27.0,56.0,62.0,62.0,17.0,0.0,162.0,32.0,0.0
36.0,27.0,62.0,162.0,35.0,33.7,33.0,56.0,62.0,71.0,17.0,0.0,0.0,32.0,0.0,0.0
35.0,56.0,17.0,32.0,33.7,33.0,33.0,62.0,71.0,71.0,0.0,0.0,0.0,0.0,0.0,0.0
33.7,62.0,0.0,0.0,33.0,33.0,32.5,71.0,71.0,72.0,0.0,0.0,0.0,0.0,0.0,0.0
33.0,71.0,0.0,0.0,33.0,32.5,32.0,71.0,72.0,75.0,0.0,0.0,0.0,0.0,0.0,0.0
33.0,71.0,0.0,0.0,32.5,32.0,32.0,72.0,75.0,71.0,0.0,0.0,0.0,0.0,0.0,0.0
32.5,72.0,0.0,0.0,32.0,32.0,30.5,75.0,71.0,72.0,0.0,0.0,0.0,0.0,0.0,0.0
32.0,75.0,0.0,0.0,32.0,30.5,31.0,71.0,72.0,70.0,0.0,0.0,0.0,0.0,0.0,0.0
32.0,71.0,0.0,0.0,30.5,31.0,30.0,72.0,70.0,70.0,0.0,0.0,0.0,0.0,0.0,0.0
30.5,72.0,0.0,0.0,31.0,30.0,29.3,70.0,70.0,73.0,0.0,0.0,0.0,0.0,0.0,0.0
