outdoor_dry_bulb_temperature,outdoor_relative_humidity,diffuse_solar_irradiance,direct_solar_irradiance,outdoor_dry_bulb_temperature_predicted_1,outdoor_dry_bulb_temperature_predicted_2,outdoor_dry_bulb_temperature_predicted_3,outdoor_relative_humidity_predicted_1,outdoor_relative_humidity_predicted_2,outdoor_relative_humidity_predicted_3,diffuse_solar_irradiance_predicted_1,diffuse_solar_irradiance_predicted_2,diffuse_solar_irradiance_predicted_3,direct_solar_irradiance_predicted_1,direct_solar_irradiance_predicted_2,direct_solar_irradiance_predicted_3
37.0,45.0,158.0,586.0,39.8,42.0,39.0,40.0,38.0,36.0,178.0,191.0,197.0,755.0,875.0,928.0
39.8,40.0,178.0,755.0,42.0,39.0,35.1,38.0,36.0,40.0,191.0,197.0,196.0,875.0,928.0,915.0
42.0,38.0,191.0,875.0,39.0,35.1,39.0,36.0,40.0,36.0,197.0,196.0,188.0,928.0,915.0,838.0
39.0,36.0,197.0,928.0,35.1,39.0,40.0,40.0,36.0,46.0,196.0,188.0,173.0,915.0,838.0,705.0
35.1,40.0,196.0,915.0,39.0,40.0,39.7,36.0,46.0,41.0,188.0,173.0,149.0,838.0,705.0,530.0
39.0,36.0,188.0,838.0,40.0,39.7,41.0,46.0,41.0,36.0,173.0,149.0,117.0,705.0,530.0,333.0
40.0,46.0,173.0,705.0,39.7,41.0,40.0,41.0,36.0,51.0,149.0,117.0,71.0,530.0,333.0,148.0
39.7,41.0,149.0,530.0,41.0,40.0,40.2,36.0,51.0,52.0,117.0,71.0,22.0,333.0,148.0,32.0
41.0,36.0,117.0,333.0,40.0,40.2,40.0,51.0,52.0,54.0,71.0,22.0,0.0,148.0,32.0,0.0
40.0,51.0,71.0,148.0,40.2,40.0,39.0,52.0,54.0,57.0,22.0,0.0,0.0,32.0,0.0,0.0
40.2,52.0,22.0,32.0,40.0,39.0,39.0,54.0,57.0,58.0,0.0,0.0,0.0,0.0,0.0,0.0
40.0,54.0,0.0,0.0,39.0,39.0,39.0,57.0,58.0,61.0,0.0,0.0,0.0,0.0,0.0,0.0
